"","CO_I1","CO_I2","CO_I3","CO_I4","CO_I5","CO_I6","CO_I7","CO_I8","CO_I9","RS_I1","RS_I2","RS_I3","RS_I4","RS_I5","RS_I6","RS_I7","RS_I8","RS_I9","RS_I10","LOT_I1","LOT_I2","LOT_I3","LOT_I4","LOT_I5","LOT_I6","LOT_I7","LOT_I8","LOT_I9","LOT_I10","GPA"
"69",3,3,2,2,3,2,3,2,3,3,2,4,1,3,3,3,3,2,2,3,3,3,3,4,4,4,3,1,2,3.25
"70",3,2,3,4,3,3,3,2,1,4,4,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3.68
"71",4,4,4,3,4,4,4,3,3,3,3,3,2,3,2,3,2,3,3,3,1,3,4,5,4,3,3,2,4,3.9
"72",4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,4,4,4,5,5,4,3,3,4,3.25
"73",3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,4,4,2,4,4,2,3,3,4,4,3.25
"74",2,2,3,3,1,3,3,2,2,4,3,3,3,3,3,3,4,4,3,4,4,3,5,5,2,4,4,4,5,3.9
"76",4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,5,4,5,4,2,3,4,3.38
"77",3,1,3,1,2,3,2,2,1,3,3,3,4,3,3,3,3,3,3,2,4,2,3,3,1,4,3,4,4,4.01
"78",4,4,4,2,3,3,3,3,1,4,1,1,3,4,2,2,3,2,2,5,5,3,4,5,5,2,4,3,4,3.46
"80",4,4,4,4,4,3,4,3,2,2,3,2,3,3,3,2,3,4,3,1,2,2,2,5,3,1,3,2,2,3.85
"81",3,3,4,4,3,4,2,2,2,1,2,1,2,2,2,2,2,3,2,2,4,2,1,3,4,2,1,2,2,2.51
"83",4,3,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,2,3,3,4,5,5,5,3,5,5,2.81
"85",4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,5,2,3,4,4,3,4,4,5,4,2.9
"86",4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,2,4,4,5,3,4,5,3,3.03
"87",4,4,4,3,4,4,3,3,3,3,4,4,3,3,3,3,4,3,3,4,4,2,4,4,4,3,4,4,4,3.07
"88",4,4,4,4,4,4,3,3,2,3,3,3,3,3,2,2,2,3,2,2,3,3,2,5,4,3,2,3,3,3.59
"89",4,4,4,4,4,3,3,3,3,2,2,3,2,3,2,2,3,3,2,3,2,3,4,4,4,3,2,3,4,3.68
"90",3,1,4,3,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,5,5,2,4,3,3,2.9
"91",4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,5,4,4,3,4,3,4,3.46
"92",4,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,4,5,4,5,4,4,3.42
